3131
20907
4173
1223677
1813
82809
11701
8452
1012
224513
440414
Aaron Sorkin
Abel Ferrara
Adam Driver
Adam Sandler
Agnes Varda
Akira Kurosawa
Al Pacino
Alan J. Pakula
Alan Parker
Alejandro González Iñárritu
Alejandro Jodorowsky
Alex Garland
Alex Proyas
Alexandra Daddario
Alexandre Aja
Alfred Hitchcock
Alice Eve
Alicia Vikander
Amanda Seyfried
Amber Heard
Amy Adams
Amy Heckerling
Amy Schumer
Ana de Armas
Anders Thomas Jensen
Andrei Tarkovsky
Angelina Jolie
Annabelle Wallis
Anne Hathaway
Anthony Bourdain
Anthony Hopkins
Antoine Fuqua
Antonio Banderas
Archie Bunker
Ari Aster
Arnold Schwarzenegger
Arthur Hiller
Arthur Penn
Asghar Farhadi
Aubrey Plaza
Audrey Hepburn
Barry Jenkins
Barry Levinson
Barry Sonnenfeld
Baz Luhrmann
Ben Affleck
Ben Stiller
Ben Wheatley
Benson & Moorhead
Bernardo Bertolucci
Bette Davis
Bill Condon
Bill Murray
Bill Paxton
Billy Bob Thornton
Billy Wilder
Blake Edwards
Blake Lively
Bo Burnham
Bob Clark
Bob Fosse
Bob Rafelson
Bobcat Goldthwait
Bong Joon-ho
Brad Bird
Brad Pitt
Bradley Cooper
Brendan Fraser
Brian De Palma
Brian G. Hutton
Brian Helgeland
Brie Larson
Brittany Murphy
Bruce Lee
Bruce Willis
Burt Reynolds
Busby Berkeley
Buster Keaton
Cameron Crowe
Cameron Diaz
Cara Delevingne
Carl Reiner
Carl Theodor Dreyer
Carol Reed
Carrie Fisher
Cary Grant
Cate Blanchett
Catherine Zeta-Jones
Cecil B. Demille
Channing Tatum
Charles Bronson
Charles Chaplin
Charles Laughton
Charlie Chaplin
Charlize Theron
Chevy Chase
Chloe Grace Moretz
Chris Columbus
Chris Evans
Chris Farley
Chris Hemsworth
Chris Morgan
Chris Pratt
Chris Rock
Christian Bale
Christophe Gans
Christopher Guest
Christopher McQuarrie
Christopher Nolan
Christopher Walken
Chuck Norris
Chuck Russell
Clint Eastwood
Clive Barker
Coen Brothers
Corin Hardy
Costa-Gavras
Curtis Hanson
D.W. Griffith
Damien Chazelle
Daniel Craig
Daniel Day-Lewis
Daniel Radcliffe
Danny Boyle
Danny Trejo
Dario Argento
Darren Aronofsky
Dave Bautista
Dave Chappelle
David Cronenberg
David Fincher
David Koepp
David Lean
David Lynch
David O. Russell
Demetri Martin
Dennis Hopper
Denzel Washington
Dexter Fletcher
Diane Keaton
Diane Kruger
Don Cheadle
Don Siegel
Don Taylor
Donald Cammell
Doug Liman
Douglas Sirk
Duncan Jones
Dustin Hoffman
Dwayne Johnson
Eddie Murphy
Edgar Wright
Edward D. Wood Jr.
Edward Norton
Eli Roth
Elia Kazan
Elizabeth Banks
Elizabeth Hurley
Elizabeth Olsen
Elizabeth Shue
Elliot Page
Elvis Presley
Emilia Clarke
Emily Blunt
Emily Ratajkowski
Emma Stone
Emma Watson
Emmanuelle Vaugier
Eric Fellner
Ernest Lehman
Evan Handler
Evangeline Lilly
Ewan McGregor
F. Gary Gray
F.W. Murnau
Fede Alvarez
Federico Fellini
Felicity Jones
Frances McDormand
Francis Ford Coppola
Franco Zeffirelli
Frank Capra
Frank Oz
Francois Truffaut
Freddie Francis
Fritz Lang
Gal Gadot
Gareth Edwards
Gareth Evans
Garry Marshall
Garth Jennings
Gaspar Noe
Gene Hackman
Gene Wilder
George A. Romero
George Carlin
George Clooney
George Lucas
George Miller
George Roy Hill
Gerard Butler
Goldie Hawn
Gore Verbinski
Grace Kelly
Greg Mottola
Gregg Araki
Gregory Peck
Greta Gerwig
Griffin Dunne
Gus Van Sant
Gwyneth Paltrow
Hal Ashby
Hal Needham
Halle Berry
Harmony Korine
Harold Ramis
Harrison Ford
Hayao Miyazaki
Helen Mirren
Helena Bonham Carter
Herschell Gordon Lewis
Hideo Nakata
Hiram Garcia
Howard Hawks
Hugh Jackman
Humphrey Bogart
Hutch Parker
Ian Bryce
Ian McKellen
Ice Cube
Idris Elba
Iliza Shlesinger
Ingmar Bergman
Ingrid Bergman
Irwin Winkler
Isabel Lucas
Isabel May
Isao Takahata
Ivan Reitman
J.A. Bayona
J.J. Abrams
Jack Arnold
Jack Black
Jack Clayton
Jack Nicholson
Jackie Chan
James Cameron
James Dean
James Franco
James Stewart
James Wan
James Whale
Jamie Foxx
Jason Bateman
Jason Blum
Jason Statham
Jean Renoir
Jean Rollin
Jean-Luc Godard
Jean-Pierre Jeunet
Jeff Bridges
Jeff Goldblum
Jennifer Aniston
Jennifer Connelly
Jennifer Lawrence
Jeremy Gardner
Jerry Bruckheimer
Jerry Zucker
Jesse Eisenberg
Jessica Alba
Jessica Biel
Jet Li
Jim Carrey
Jim Henson
Jim Jarmusch
Joaquin Phoenix
Joe Dante
Joel Schumacher
Joel Silver
John Badham
John Boorman
John Candy
John Carpenter
John Cassavetes
John Ford
John Frankenheimer
John G. Avildsen
John Huston
John Landis
John Mulaney
John Schlesinger
John Singleton
John Travolta
John Waters
John Wayne
John Woo
Johnny Depp
Jon Favreau
Jon Kilik
Jonathan Demme
Jordan Peele
Judd Apatow
Julia Ducournau
Julia Roberts
Julianne Moore
Kaitlyn Dever
Kate Beckinsale
Kate Winslet
Katheryn Winnick
Kathryn Bigelow
Keanu Reeves
Keira Knightley
Ken Russell
Kevin Bacon
Kevin Costner
Kevin Hart
Kevin Smith
Kristen Bell
Kristen Stewart
Kristen Wiig
Kristin Kreuk
Lars von Trier
Laura Vandervoort
Laurence Fishburne
Leigh Whannell
Leonardo DiCaprio
Lewis Gilbert
Liam Neeson
Lily James
Liv Tyler
Lorenzo Di Bonaventura
Lorne Orleans
Louis C.K
Luc Besson
Lucio Fulci
Lucy Liu
M. Night Shyamalan
Margot Robbie
Marilyn Monroe
Mark Wahlberg
Marlon Brando
Martin Scorsese
Matt Damon
Matthew McConaughey
Meg Ryan
Megan Fox
Mel B
Mel Brooks
Mel Gibson
Melissa Benoist
Melissa McCarthy
Meryl Streep
Michael Bay
Michael Caine
Michael Douglas
Michael Keaton
Michelle Monaghan
Mike Myers
Mila Kunis
Milla Jovovich
Morgan Freeman
